,exchange,open,high,low,close,volume,trade_count,vwap,symbol
2021-01-12,FTXU,0.008014,0.008014,0.008014,0.008014,1,1,0.008014,DOGEUSD
2021-01-13,FTXU,0.008308,0.008623,0.008308,0.008493,6131,3,0.0083386573,DOGEUSD
2021-01-14,FTXU,0.0095045,0.0095045,0.0095045,0.0095045,377,1,0.0095045,DOGEUSD
2021-01-15,FTXU,0.0098025,0.0098025,0.0091905,0.0093285,9134,9,0.0096513407,DOGEUSD
2021-01-16,FTXU,0.009521,0.009521,0.009521,0.009521,3031,1,0.009521,DOGEUSD
2021-01-17,FTXU,0.0091775,0.0091775,0.0091675,0.0091675,3819,7,0.009172263,DOGEUSD
2021-01-18,FTXU,0.0091395,0.0091395,0.009126,0.009126,669,2,0.0091267668,DOGEUSD
2021-01-19,FTXU,0.008956,0.008956,0.008956,0.008956,172,1,0.008956,DOGEUSD
2021-01-20,FTXU,0.00873,0.008893,0.00873,0.008885,34516,3,0.0087306902,DOGEUSD
2021-01-21,FTXU,0.0087045,0.0087045,0.00765,0.00765,1200,3,0.0081703867,DOGEUSD
2021-01-22,FTXU,0.0083915,0.0086335,0.0083915,0.0086335,39903,4,0.0086329692,DOGEUSD
2021-01-23,FTXU,0.0084,0.0085805,0.0084,0.0085795,953,3,0.0085424402,DOGEUSD
2021-01-24,FTXU,0.0085915,0.008706,0.0085915,0.0086915,12787,3,0.008641458,DOGEUSD
2021-01-25,FTXU,0.0088035,0.0088035,0.008757,0.008757,2431,2,0.0088026201,DOGEUSD
2021-01-26,FTXU,0.0083415,0.0083415,0.008286,0.008286,400,2,0.008335395,DOGEUSD
2021-01-27,FTXU,0.0078,0.0139645,0.0073785,0.0120995,37125111,86,0.0107095787,DOGEUSD
2021-01-28,FTXU,0.0123575,0.0889785,0.0111145,0.07,63548178,1703,0.034126828,DOGEUSD
2021-01-29,FTXU,0.07,0.0746555,0.0290885,0.0324295,29060375,2174,0.0506390004,DOGEUSD
2021-01-30,FTXU,0.0324115,0.037855,0.0226,0.0284545,7688433,670,0.0292748796,DOGEUSD
2021-01-31,FTXU,0.0282255,0.049,0.027,0.0407405,10061743,1492,0.037926252,DOGEUSD
2021-02-01,FTXU,0.041111,0.043222,0.0284245,0.033604,14398775,777,0.0365719556,DOGEUSD
2021-02-02,FTXU,0.033738,0.035,0.029656,0.032523,6266823,386,0.0324884639,DOGEUSD
2021-02-03,FTXU,0.032109,0.0431995,0.031107,0.0398095,4874856,500,0.0376748374,DOGEUSD
2021-02-04,FTXU,0.0398755,0.0606375,0.039663,0.0464095,29829799,1804,0.0484082882,DOGEUSD
2021-02-05,FTXU,0.0461375,0.051198,0.0434755,0.0492975,3855118,469,0.0471506795,DOGEUSD
2021-02-06,FTXU,0.0486915,0.0658935,0.048005,0.056158,12310707,867,0.05603608,DOGEUSD
2021-02-07,FTXU,0.05716,0.0890325,0.0568755,0.07117,23502657,1567,0.0734200554,DOGEUSD
2021-02-08,FTXU,0.0712,0.086172,0.0679995,0.0813485,7046079,734,0.0789662988,DOGEUSD
2021-02-09,FTXU,0.0811555,0.0813075,0.064108,0.073563,6081777,854,0.0734292224,DOGEUSD
2021-02-10,FTXU,0.073975,0.082,0.066316,0.07275,3399287,624,0.0733598034,DOGEUSD
2021-02-11,FTXU,0.07303,0.0746315,0.0601055,0.067239,4119474,410,0.0670408159,DOGEUSD
2021-02-12,FTXU,0.066714,0.07282,0.0633845,0.0695525,996367,300,0.0684430159,DOGEUSD
2021-02-13,FTXU,0.0687695,0.069868,0.0629425,0.0639735,1554013,476,0.0663950458,DOGEUSD
2021-02-14,FTXU,0.0641615,0.0658155,0.046901,0.052667,4343774,386,0.0573886384,DOGEUSD
2021-02-15,FTXU,0.0527565,0.063619,0.052645,0.05745,1542213,327,0.0592513509,DOGEUSD
2021-02-16,FTXU,0.057148,0.059025,0.0503985,0.052796,1181421,127,0.0542283666,DOGEUSD
2021-02-17,FTXU,0.053176,0.054297,0.048,0.0530745,1767932,210,0.0499145885,DOGEUSD
2021-02-18,FTXU,0.0524495,0.0639735,0.0503,0.057617,1001308,282,0.0576172497,DOGEUSD
2021-02-19,FTXU,0.056444,0.0578015,0.0529055,0.0547395,587702,132,0.0548545204,DOGEUSD
2021-02-20,FTXU,0.054471,0.060801,0.05132,0.0552935,446525,140,0.0552958302,DOGEUSD
2021-02-21,FTXU,0.055134,0.0601165,0.0547525,0.056623,559557,96,0.0573964689,DOGEUSD
2021-02-22,FTXU,0.056681,0.0608305,0.045901,0.0492,1442982,172,0.0521174651,DOGEUSD
2021-02-23,FTXU,0.051227,0.0512765,0.041535,0.0496635,2611821,163,0.0468687687,DOGEUSD
2021-02-24,FTXU,0.055,0.060364,0.0530355,0.055924,2098871,163,0.0568994743,DOGEUSD
2021-02-25,FTXU,0.057046,0.057046,0.0493445,0.0496235,1386197,92,0.0532294463,DOGEUSD
2021-02-26,FTXU,0.049979,0.0527415,0.0484725,0.051473,1310014,84,0.0505191633,DOGEUSD
2021-02-27,FTXU,0.0512,0.0512,0.046895,0.049066,522295,86,0.0497378614,DOGEUSD
2021-02-28,FTXU,0.047441,0.0494505,0.045,0.049036,393784,86,0.0475720237,DOGEUSD
2021-03-01,FTXU,0.048474,0.052919,0.0483105,0.051722,545315,75,0.0505627229,DOGEUSD
2021-03-02,FTXU,0.050261,0.052202,0.049238,0.0506255,1672811,86,0.0509943099,DOGEUSD
2021-03-03,FTXU,0.0504865,0.052168,0.05,0.05,248920,87,0.0508437672,DOGEUSD
2021-03-04,FTXU,0.0501095,0.0510175,0.0478425,0.0490655,325954,61,0.0485705665,DOGEUSD
2021-03-05,FTXU,0.04944,0.052889,0.0485,0.051983,911739,80,0.0510787954,DOGEUSD
2021-03-06,FTXU,0.0517,0.052145,0.048819,0.05146,127099,67,0.0509166404,DOGEUSD
2021-03-07,FTXU,0.0515855,0.055905,0.0508,0.0555225,447805,72,0.0527717,DOGEUSD
